受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2024/1/2,13,23963300,15073200,12672400,10,10,10,10,10,10,10,10,10,10,8907050,1063750,1121700,1121700
2024/1/2,14,23975850,15241850,12679200,10.46,10.46,10.46,10.46,10.46,10.46,10.46,10.46,10.46,10.46,8946950,1098100,1132100,1132100
2024/1/2,15,24559800,15952950,13042700,11.06,11.06,11.06,11.06,11.06,11.06,11.06,11.06,11.06,11.06,9385550,998600,1238250,1203850
2024/1/2,16,25188400,16366350,13453200,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,9818700,1050150,1263800,1229400
2024/1/2,17,26010300,16550900,13647950,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,10374550,998550,1391100,1349400
2024/1/2,18,26688650,16855650,13610950,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10.43,10553000,974300,1891400,1849700
2024/1/2,19,28820200,16706650,13899400,10,9.78,10,10,10,10,10,10,10,10,11775150,946800,2162650,2120950
2024/1/2,20,30821300,16279250,14241950,6,8.89,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,13082500,960150,2362450,2320750
2024/1/2,21,34183300,17042550,15265750,7.92,8.9,8.9,8.9,8.9,3,3,3,3,1,15057450,969900,2288700,2247000
2024/1/2,22,35190800,16498950,15047900,5.01,8.31,8.31,8.31,8.31,2.12,2.12,2.12,2.12,0.09,15739050,978950,2243100,2201400
2024/1/2,23,36215850,16669150,15206850,3.12,6,6,6,6,5.01,5.01,5.01,5.01,0.01,16140600,982250,2866250,2858950
2024/1/2,24,37073700,16319150,15159100,2.12,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,16402150,982400,2852700,2845400
2024/1/2,25,37499000,15862050,15066600,1,3,3,3,3,2.12,2.12,2.12,2.12,0.01,16639100,982750,2560500,2560500
2024/1/2,26,37512900,15498950,14888100,0.09,3,3,3,3,2.12,2.12,2.12,2.12,0.01,16949600,978800,2457200,2457200
2024/1/2,27,37288550,15600150,14593800,2.12,4.65,4.65,4.65,4.65,3,3,3,3,0.01,17423850,972600,2562750,2528350
2024/1/2,28,36612650,15548750,14122650,3,5.12,5.12,5.12,5.12,5,5,5,5,0.01,17624950,964900,2632100,2597700
2024/1/2,29,35535050,15417150,13960450,5.01,5.86,5.86,5.86,5.86,5.12,5.12,5.12,5.12,0.01,17346900,960300,2549850,2508150
2024/1/2,30,33915000,14744850,13275850,5.12,7,7,7,6,3.12,3.12,3.12,3.12,3,16654350,956000,2117050,2075350
2024/1/2,31,31604300,14454350,12621200,7.92,8.9,8.9,8.9,8.85,3.12,3.12,3.12,3.12,3,15326250,949950,1703750,1637050
2024/1/2,32,29835750,15032350,12208500,9.78,10,10,10,10,8.12,8.12,8.12,8.12,8.12,14180750,943500,1570200,1378500
2024/1/2,33,28433000,15388650,12493450,10,10,10,10,10,9.29,9.29,9.29,9.29,9.29,12557200,937600,1115100,923400
2024/1/2,34,26738800,15656050,12628600,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,10.97,11455500,979450,1217150,1025450
2024/1/2,35,26122850,15790950,12775600,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11312300,1044250,917350,725650
2024/1/2,36,26013100,16103650,12774900,11.6,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11.59,11182800,1060950,957050,765350
2024/1/2,37,25889050,16111300,12869800,11.81,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,10901100,1038200,907050,715350
2024/1/2,38,26071400,16223700,13056300,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,11.55,10814850,1002700,925550,733850
2024/1/2,39,26051300,16181150,13063050,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,10787200,1004700,891300,699600
2024/1/2,40,25810700,16080050,13007850,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,10540200,1011750,924800,733100
2024/1/2,41,25505150,16044850,12957700,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,10322700,1017300,940300,748600
2024/1/2,42,25387150,15755100,12867850,11,11,11,11,11,11,11,11,11,11,10217900,1060950,940300,748600
2024/1/2,43,25046500,15519950,12760950,11,11,11,11,11,11,11,11,11,11,10030050,1094400,971300,779600
2024/1/2,44,24710050,15257950,12631850,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,10.57,9751000,1155900,956300,764600
2024/1/2,45,24490800,15549650,12496950,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,9544600,1093900,969800,778100
2024/1/2,46,24488400,15232950,12346800,10,10,10,10,10,10,10,10,10,10,9301600,1047700,968900,779100
2024/1/2,47,23451250,14796500,11948700,10,10,10,10,10,10,10,10,10,10,8493100,999500,763250,578850
2024/1/2,48,22542300,14396150,11917700,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,7146300,1040050,562750,379500
2024/1/3,1,17583500,14982950,12004200,11.3,11.53,11.53,11.53,11.5,11.29,11.29,11.29,11.29,11.29,3719350,733600,868850,868850
2024/1/3,2,18855100,13959100,11966000,9.12,9.78,9.78,9.78,9.78,9.12,9.12,9.12,9.12,9.12,4594850,971550,916700,916700
2024/1/3,3,19760800,13820150,11838800,9.53,10,10,10,10,8.12,8.12,8.12,8.12,8.12,5211200,1004200,1107800,1107800
2024/1/3,4,20654650,14113000,11932900,10,10,10,10,10,8.6,8.6,8.6,8.6,8.6,5884400,913450,1189450,1189450
2024/1/3,5,21104250,14185800,12046400,10,10,10,10,10,10,10,10,10,10,6112750,741400,1340100,1340100
2024/1/3,6,21185450,14495450,12075800,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,6496000,679600,1513950,1513950
2024/1/3,7,21417200,14607450,12129200,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,6758000,673050,1570750,1570750
2024/1/3,8,21722950,14474250,12136700,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,6983300,667100,1591650,1591650
2024/1/3,9,21872500,14636950,12113200,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,7154300,657950,1574800,1574800
2024/1/3,10,22429350,14543000,12152800,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,7558100,651850,1519600,1519600
2024/1/3,11,22519450,14409250,12021650,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,10.45,7715500,642750,1394750,1394750
2024/1/3,12,22920300,14186850,11748400,10.45,10.46,10.46,10.46,10.46,10,10,10,10,10,8374450,636150,1187150,1187150
2024/1/3,13,23424600,14686550,12165850,10.6,10.75,10.75,10.75,10.75,9.79,9.79,9.79,9.79,9.79,8782450,628650,1106650,1106650
2024/1/3,14,23484000,14745700,12158100,10.9,11.06,11.06,11.06,11.06,9.79,9.79,9.79,9.79,9.79,9057300,621150,1068200,1018200
2024/1/3,15,23631450,15254050,12228150,11.03,11.33,11.33,11.33,11.33,10.56,10.56,10.56,10.56,10.56,9275200,614900,1107550,857550
2024/1/3,16,24156100,15649550,12466200,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,11.29,9600550,611400,1119150,834750
2024/1/3,17,25121200,15953050,12754900,10.15,9.78,10.46,10.46,10.46,10.46,10.46,10.46,10.46,10.46,9834500,608250,1117450,825750
2024/1/3,18,25573200,16428850,13203600,11.07,11,11,11,11,11,11,11,11,11,10241600,770700,1734300,1441400
2024/1/3,19,26249000,16483600,13303000,10.74,10.46,10.46,10.46,10.46,10.46,10.46,10.46,10.46,10.46,11029650,1133700,1915450,1804250
2024/1/3,20,27102650,16153900,13331050,9.79,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,9.83,11982900,1249300,1897650,1831050
2024/1/3,21,28846300,16098950,13301850,9,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,13125700,1365700,1844950,1772750
2024/1/3,22,29416450,15869850,13294550,8.84,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,13986900,1580100,1916850,1845150
2024/1/3,23,29693650,16334600,13333000,8.86,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,14324850,1627550,2368650,1865950
2024/1/3,24,29823250,16576350,13318200,8.6,8.98,8.98,8.98,8.98,8.6,8.6,8.6,8.6,8.6,14459300,1671500,2678500,1794800
2024/1/3,25,29900350,16644600,13205350,8.96,9,9,9,9,8.85,8.85,8.85,8.85,8.85,14690750,1703650,2859350,1953150
2024/1/3,26,29988300,16502700,13131700,8.98,9,9,9,9,8.84,8.84,8.84,8.84,8.84,15067600,1702350,2800050,1893850
2024/1/3,27,30026700,16418450,13000950,9,9.36,9.36,9.36,9.36,8.84,8.84,8.84,8.84,8.84,15316250,1687000,2755200,1849000
2024/1/3,28,29978950,16175700,12790000,9.35,9.63,9.63,9.63,9.63,9,9,9,9,9,15447400,1628750,2648600,1892400
2024/1/3,29,29871800,15759800,12327850,9.59,10,10,10,10,8.85,8.85,8.85,8.85,8.85,15755650,1516200,2535900,1779700
2024/1/3,30,29202950,15498150,12004250,10,10.16,10.16,10.16,10.16,9,9,9,9,9,15302700,1194400,2291200,1766000
2024/1/3,31,28160950,14722950,12135450,10,16.24,10.8,10.8,10.8,7.77,7.77,7.77,7.77,7.77,14222650,925300,1419850,1353650
2024/1/3,32,27341400,14728400,12023650,10.09,11.32,11.32,11.32,11.32,8.12,8.12,8.12,8.12,8.12,13648450,849050,1213300,1153500
2024/1/3,33,26591450,15319000,12187350,10.61,10.87,10.87,10.87,10.87,10.79,10.79,10.79,10.79,10.79,12094050,641150,1171400,976300
2024/1/3,34,25234700,15533500,12317050,11.07,11.39,11.39,11.39,11.29,11.28,11.28,11.28,11.28,11.28,10670450,504650,804950,613250
2024/1/3,35,25424300,15691650,12476000,11.29,11.51,11.51,11.51,11.51,11.28,11.28,11.28,11.28,11.28,10832650,553000,623950,432250
2024/1/3,36,25296800,15980350,12406150,11.62,11.62,11.62,11.62,11.62,11.29,11.29,11.29,11.29,11.29,10778150,612250,634950,393250
2024/1/3,37,25333800,16077400,12709100,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,11.71,10766500,649200,593950,352250
2024/1/3,38,25236500,16147200,12735100,11.93,11.95,11.95,11.95,11.95,11.93,11.93,11.93,11.93,11.93,10608650,644450,647950,376250
2024/1/3,39,25308650,16153900,12767650,11.93,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,11.68,10631400,631600,650700,359000
2024/1/3,40,25109400,15973950,12592800,11.66,11.66,11.66,11.66,11.66,11.5,11.5,11.5,11.5,11.5,10426600,596600,642200,350500
2024/1/3,41,24915350,15647650,12450850,11.58,11.57,11.57,11.57,11.57,11,11,11,11,11,10264300,555500,663200,371500
2024/1/3,42,24897200,15464950,12343400,11.52,11.55,11.55,11.55,11.55,10.5,10.5,10.5,10.5,10.5,10371450,583900,587200,345500
2024/1/3,43,24567300,15107600,12194250,11.5,11.51,11.51,11.51,11.51,8.94,8.94,8.94,8.94,8.94,10227500,634800,598200,356500
2024/1/3,44,24442600,14897150,12266800,10.97,11.64,11.33,11.33,11.33,8.12,8.12,8.12,8.12,8.12,9953600,599800,655700,464000
2024/1/3,45,24600250,14764800,12241350,10.49,10.75,10.75,10.75,10.75,5.67,5.67,5.67,5.67,5.67,9746300,596600,622200,430500
2024/1/3,46,24642850,14370500,12165700,10,10.46,10.46,10.46,10.46,5.67,5.67,5.67,5.67,5.67,9298650,597550,623700,432000
2024/1/3,47,23860350,14088400,11890800,10,10.43,10.43,10.43,10,5.67,5.67,5.67,5.67,5.67,8503450,599100,688650,504250
2024/1/3,48,23018850,13508050,11811350,8.6,10.13,10.13,10.13,7.74,3.12,3.12,3.12,3.12,3.12,7084150,762150,505150,470750
2024/1/4,1,18497850,14097050,12270550,9.39,11.55,10.71,10.71,10.71,5,5,5,5,5,3674500,544800,766250,766250
2024/1/4,2,19945650,13976400,12233100,8.63,10,10,10,10,5,5,5,5,5,5021750,547600,970550,970550
2024/1/4,3,20569550,13886450,11969450,9.47,11.3,10.59,10.59,10.59,5,5,5,5,5,5694950,550900,950750,950750
2024/1/4,4,21379000,13809050,11891350,9.5,10.48,10.48,10.48,10.48,5.67,5.67,5.67,5.67,5.67,6436450,551450,917950,917950
2024/1/4,5,21410650,14027300,11991700,9.8,10.04,10.04,10.04,10.04,5.67,5.67,5.67,5.67,5.67,6445100,553900,973150,973150
2024/1/4,6,21737350,14096350,11968650,9.92,10.2,10.2,10.2,10.2,7.25,7.25,7.25,7.25,7.25,6570650,555350,1095300,1095300
2024/1/4,7,22025550,14171300,12316000,9.76,10.37,10.37,10.37,10.37,6,6,6,6,6,6624000,554800,1159650,1159650
2024/1/4,8,22186600,14086100,12237700,10,10.37,10.37,10.37,10.37,8,8,8,8,8,6787350,553750,1172650,1172650
2024/1/4,9,22302950,14224200,12144050,10.16,10.37,10.37,10.37,10.37,8.6,8.6,8.6,8.6,8.6,6955900,552150,1163550,1163550
2024/1/4,10,22511500,14129150,12067450,10,10.17,10.17,10.17,10.17,8.02,8.02,8.02,8.02,8.02,7159350,553000,998150,998150
2024/1/4,11,23076100,14199600,12198650,9.57,10,10,10,10,7.77,7.77,7.77,7.77,7.77,7365150,552900,899900,899900
2024/1/4,12,23326850,14388900,12242700,10,10.65,10.65,10.65,10.65,7.25,7.25,7.25,7.25,7.25,7826650,552450,1082250,1082250
2024/1/4,13,23608300,14565100,12279100,10,10.81,10.81,10.81,10.81,7.77,7.77,7.77,7.77,7.77,8269300,553600,847800,847800
2024/1/4,14,23736050,15173000,12529950,10.86,10.91,10.91,10.91,10.91,10.46,10.46,10.46,10.46,10.46,8372300,617350,1006450,972050
2024/1/4,15,23510950,15919750,12936100,10.95,11.08,11.08,11.08,11.08,10.62,10.62,10.62,10.62,10.62,8070400,708550,925250,890850
2024/1/4,16,26044750,16595700,13517350,11.28,11.28,11.28,11.28,11.28,11,11,11,11,11,8033500,751600,1063250,1028850
2024/1/4,17,26730450,17102850,14049750,11.08,11.53,11.53,11.53,10.57,10.57,10.57,10.57,10.57,10.57,7961350,807900,1170250,1128650
2024/1/4,18,25344700,17754600,14596950,10.87,11.42,11.42,11.42,10.04,10.04,10.04,10.04,10.04,10.04,8190550,813550,1524650,1481850
2024/1/4,19,27327100,18161700,14890400,10.86,10.88,10.88,10.88,10.86,10.86,10.86,10.86,10.86,10.86,9733300,813050,1722750,1657650
2024/1/4,20,29395250,18083300,15025750,10.02,10.53,10.53,10.53,10.02,10.02,10.02,10.02,10.02,10.02,11047250,793650,2340700,2264200
2024/1/4,21,31320900,18002600,15572600,7.5,10,10,10,6,6,6,6,6,6,11761750,770750,2685250,2555900
2024/1/4,22,32553000,17827400,16076500,5.12,9.57,5.12,5.12,4.76,4.76,4.76,4.76,4.76,3,12062800,753400,2751150,2604800
2024/1/4,23,34624700,19289250,16931050,7.5,9.57,9.89,9.89,6,6,6,6,6,3,12726750,743500,3048500,2674650
2024/1/4,24,35578300,19152100,16971650,6,8.9,8.9,8.9,6,6,6,6,6,0.01,13114350,741450,3115650,2753300
2024/1/4,25,36221100,18851800,16857350,5.12,7.5,7.5,7.5,5,5,5,5,5,0.01,13442450,721050,2833150,2482800
2024/1/4,26,36575400,18637450,16736200,5.02,6.26,6.26,6.26,5.02,5.02,5.02,5.02,5.02,0.01,13679750,708200,2721800,2447300
2024/1/4,27,36586150,18623100,16672200,6,7.5,7.5,7.5,6,6,6,6,6,0.01,14231700,720450,2796150,2522450
2024/1/4,28,34887400,17500750,16009700,4.65,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,0.01,14124100,713800,2878850,2605650
2024/1/4,29,34048750,17049200,15473900,5.12,6,5.12,5.12,5.01,5.01,5.01,5.01,5.01,3,14024000,709400,2672750,2399700
2024/1/4,30,33199750,16356950,14516000,5.67,7.5,7.5,7.5,5,5,5,5,5,5,13733050,706950,2203400,1930000
2024/1/4,31,31146350,15874550,13872550,7,9.35,9.35,9.35,6,6,6,6,6,5.67,12544750,703050,1521600,1453250
2024/1/4,32,29049550,15893500,13635700,8.12,10,10,10,7,7,7,7,7,7,11150200,710650,1058600,995150
2024/1/4,33,26736750,16322950,13590950,10,10.07,10.07,10.07,9.6,9.6,9.6,9.6,9.6,9.6,9489600,718950,841800,793050
2024/1/4,34,24836550,17028400,13911350,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,11.19,8400100,750600,1172700,1127350
2024/1/4,35,24741450,16849400,13768050,11.24,11.4,11.4,11.4,10.99,10.99,10.99,10.99,10.99,10.99,8461850,896350,634700,589350
2024/1/4,36,24535950,16892200,13790450,11.18,11.42,11.42,11.42,10.93,10.93,10.93,10.93,10.93,10.93,8607000,995200,627800,582450
2024/1/4,37,24675500,16914750,13996550,11.38,11.67,11.67,11.67,11.11,11.11,11.11,11.11,11.11,11.11,8768050,1017350,620450,575100
2024/1/4,38,24727950,16846500,13971400,11.46,11.48,11.48,11.48,11.39,11.39,11.39,11.39,11.39,11.39,8841350,1008050,577750,532400
2024/1/4,39,24594900,16821600,13893650,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,8712800,972100,556400,511050
2024/1/4,40,24631950,16873350,13975400,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,11.18,8714350,934450,556100,510750
2024/1/4,41,24451050,16759750,13872150,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,8754100,915700,547300,509150
2024/1/4,42,24551250,16500750,13779850,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,11.34,8745400,953600,746450,608300
2024/1/4,43,24320150,16225250,13420850,11.04,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,8482450,944850,657000,518850
2024/1/4,44,24175100,15720800,13010350,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,8538500,915550,665400,565400
2024/1/4,45,24773400,15691100,12732500,10.89,11,11,11,11,11,11,11,11,11,9485400,863550,640400,540400
